text,start,end,imdbid,imdbid_pe,season,episode,scaled_end,scaled_start,duration,tvad_name,tvad_index,bboxes,pred_ids
She awkwardly waves back.,174.66,175.899,tt0108778,tt0583647,1,2,176.279,174.279,2.0,friends_s01e02_seg02_clip_00,"[176, 176, 177, 177, 178, 178, 178, 179, 179, 180, 180, 181, 181, 181, 182, 182]","[[[256, 97, 283, 127], [115, 74, 145, 112], [322, 86, 345, 113], [498, 121, 521, 150], [318, 143, 341, 174], [9, 107, 42, 150]], [[256, 97, 283, 127], [115, 74, 145, 112], [322, 86, 345, 113], [498, 121, 521, 150], [318, 143, 341, 174], [9, 107, 42, 150]], [[502, 114, 523, 143], [115, 74, 146, 112], [253, 80, 278, 116], [322, 86, 344, 113], [312, 142, 340, 177]], [[502, 114, 523, 143], [115, 74, 146, 112], [253, 80, 278, 116], [322, 86, 344, 113], [312, 142, 340, 177]], [[492, 113, 514, 144], [115, 74, 146, 112], [237, 73, 262, 110], [323, 86, 346, 113], [311, 140, 341, 177]], [[492, 113, 514, 144], [115, 74, 146, 112], [237, 73, 262, 110], [323, 86, 346, 113], [311, 140, 341, 177]], [[492, 113, 514, 144], [115, 74, 146, 112], [237, 73, 262, 110], [323, 86, 346, 113], [311, 140, 341, 177]], [[231, 65, 256, 106], [323, 84, 347, 112], [116, 73, 147, 111], [480, 107, 501, 139], [315, 144, 344, 177]], [[231, 65, 256, 106], [323, 84, 347, 112], [116, 73, 147, 111], [480, 107, 501, 139], [315, 144, 344, 177]], [[118, 74, 148, 111], [242, 67, 268, 107], [483, 108, 504, 137], [324, 85, 347, 112]], [[118, 74, 148, 111], [242, 67, 268, 107], [483, 108, 504, 137], [324, 85, 347, 112]], [[254, 70, 279, 107], [117, 74, 146, 112], [492, 106, 511, 136], [324, 85, 347, 112], [371, 89, 392, 116]], [[254, 70, 279, 107], [117, 74, 146, 112], [492, 106, 511, 136], [324, 85, 347, 112], [371, 89, 392, 116]], [[254, 70, 279, 107], [117, 74, 146, 112], [492, 106, 511, 136], [324, 85, 347, 112], [371, 89, 392, 116]], [[257, 72, 283, 109], [116, 74, 147, 112], [497, 106, 518, 138], [323, 85, 346, 112]], [[257, 72, 283, 109], [116, 74, 147, 112], [497, 106, 518, 138], [323, 85, 346, 112]]]","{'nm0001710': [(0, 0), (1, 0), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 0), (8, 0), (9, 1), (10, 1), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
"She peers through the pan, then sets it down.",398.075,400.075,tt0108778,tt0583647,1,2,400.075,398.075,2.0,friends_s01e02_seg02_clip_05,"[22, 22, 23, 23, 23, 24, 24, 25, 25, 25, 26, 26, 27, 27, 27, 28]","[[[457, 79, 502, 137], [227, 92, 276, 154], [88, 122, 135, 181]], [[457, 79, 502, 137], [227, 92, 276, 154], [88, 122, 135, 181]], [[465, 80, 510, 141], [225, 85, 280, 151]], [[465, 80, 510, 141], [225, 85, 280, 151]], [[465, 80, 510, 141], [225, 85, 280, 151]], [[225, 88, 278, 153], [469, 80, 514, 142]], [[225, 88, 278, 153], [469, 80, 514, 142]], [[229, 90, 281, 153], [487, 79, 530, 143], [123, 128, 163, 191]], [[229, 90, 281, 153], [487, 79, 530, 143], [123, 128, 163, 191]], [[229, 90, 281, 153], [487, 79, 530, 143], [123, 128, 163, 191]], [[498, 78, 543, 139], [230, 90, 282, 153], [123, 128, 168, 195]], [[498, 78, 543, 139], [230, 90, 282, 153], [123, 128, 168, 195]], [[372, 105, 432, 193], [263, 105, 320, 185]], [[372, 105, 432, 193], [263, 105, 320, 185]], [[372, 105, 432, 193], [263, 105, 320, 185]], [[352, 109, 412, 195], [256, 102, 315, 181]]]","{'nm0001455': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 0), (11, 0)], 'nm0001612': [(5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 1), (11, 1)], 'nm0001073': [(12, 0), (13, 0), (14, 0), (15, 0)], 'nm0000098': [(12, 1), (13, 1), (14, 1), (15, 1)]}"
"Chandler, Joey, and Phoebe dig through the dish.",407.616,409.937,tt0108778,tt0583647,1,2,409.937,407.616,2.321,friends_s01e02_seg02_clip_05,"[51, 51, 52, 52, 53, 53, 54, 54, 55, 55, 56, 56, 56, 57, 57, 58]","[[[164, 111, 219, 174], [452, 81, 492, 135]], [[164, 111, 219, 174], [452, 81, 492, 135]], [[415, 86, 459, 141], [168, 132, 223, 186]], [[415, 86, 459, 141], [168, 132, 223, 186]], [[343, 78, 391, 137], [183, 190, 239, 247], [531, 96, 564, 144]], [[343, 78, 391, 137], [183, 190, 239, 247], [531, 96, 564, 144]], [[311, 74, 357, 132], [479, 95, 521, 148], [169, 251, 237, 290]], [[311, 74, 357, 132], [479, 95, 521, 148], [169, 251, 237, 290]], [[312, 85, 355, 142], [422, 92, 468, 147], [190, 260, 249, 300]], [[312, 85, 355, 142], [422, 92, 468, 147], [190, 260, 249, 300]], [[207, 248, 271, 294], [374, 113, 421, 168], [291, 111, 333, 163]], [[207, 248, 271, 294], [374, 113, 421, 168], [291, 111, 333, 163]], [[207, 248, 271, 294], [374, 113, 421, 168], [291, 111, 333, 163]], [[207, 215, 267, 262], [355, 142, 400, 201], [255, 113, 305, 166]], [[207, 215, 267, 262], [355, 142, 400, 201], [255, 113, 305, 166]], [[209, 209, 266, 251], [365, 154, 412, 207]]]","{'nm0001455': [(0, 1), (1, 1)]}"
Monica opens up for a slumped Ross.,412.937,415.038,tt0108778,tt0583647,1,2,415.038,412.937,2.101,friends_s01e02_seg02_clip_05,"[67, 67, 68, 68, 69, 69, 70, 70, 70, 71, 71, 72, 72, 73, 73, 73]","[[[337, 126, 421, 241]], [[337, 126, 421, 241]], [[226, 94, 321, 229]], [[226, 94, 321, 229]], [], [], [], [], [], [], [], [], [], [[321, 81, 394, 169]], [[321, 81, 394, 169]], [[321, 81, 394, 169]]]","{'nm0001073': [(2, 0), (3, 0)]}"
Phoebe holds up the sauce-covered ring.,423.731,425.572,tt0108778,tt0583647,1,2,425.652,423.652,2.0,friends_s01e02_seg02_clip_05,"[100, 100, 100, 101, 101, 102, 102, 102, 103, 103, 104, 104, 104, 105, 105, 106]","[[[185, 116, 267, 229], [400, 143, 469, 263]], [[185, 116, 267, 229], [400, 143, 469, 263]], [[185, 116, 267, 229], [400, 143, 469, 263]], [[174, 110, 255, 226], [391, 147, 455, 266], [0, 147, 36, 260]], [[174, 110, 255, 226], [391, 147, 455, 266], [0, 147, 36, 260]], [[186, 106, 269, 217], [380, 150, 441, 266], [0, 150, 32, 255]], [[186, 106, 269, 217], [380, 150, 441, 266], [0, 150, 32, 255]], [[186, 106, 269, 217], [380, 150, 441, 266], [0, 150, 32, 255]], [[251, 79, 313, 170], [468, 144, 528, 235]], [[251, 79, 313, 170], [468, 144, 528, 235]], [[463, 146, 525, 237], [222, 78, 285, 170]], [[463, 146, 525, 237], [222, 78, 285, 170]], [[463, 146, 525, 237], [222, 78, 285, 170]], [[444, 147, 503, 241], [180, 86, 239, 175]], [[444, 147, 503, 241], [180, 86, 239, 175]], [[163, 89, 222, 177], [425, 151, 472, 243]]]","{'nm0001455': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0)], 'nm0001435': [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1)], 'nm0001612': [(3, 2), (4, 2), (5, 2), (6, 2), (7, 2)], 'nm0001710': [(8, 0), (9, 0), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 0)], 'nm0001073': [(8, 1), (9, 1), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 1)]}"
Mrs. Geller fluffs a throw pillow.,541.487,543.309,tt0108778,tt0583647,1,2,543.398,541.398,2.0,friends_s01e02_seg02_clip_07,"[126, 126, 127, 127, 127, 128, 128, 129, 129, 129, 130, 130, 131, 131, 131, 132]","[[[290, 99, 371, 207]], [[290, 99, 371, 207]], [[310, 95, 386, 205]], [[310, 95, 386, 205]], [[310, 95, 386, 205]], [[313, 92, 390, 203]], [[313, 92, 390, 203]], [[318, 88, 394, 205]], [[318, 88, 394, 205]], [[318, 88, 394, 205]], [[288, 103, 364, 205]], [[288, 103, 364, 205]], [[290, 102, 368, 204]], [[290, 102, 368, 204]], [[290, 102, 368, 204]], [[285, 107, 359, 207]]]","{'nm0001073': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0)], 'nm0681943': [(10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
Monica rolls her eyes to Ross.,551.91,553.852,tt0108778,tt0583647,1,2,553.881,551.881,2.0,friends_s01e02_seg02_clip_07,"[157, 158, 158, 158, 159, 159, 160, 160, 160, 161, 161, 162, 162, 162, 163, 163]","[[[289, 122, 356, 217]], [[225, 85, 302, 191]], [[225, 85, 302, 191]], [[225, 85, 302, 191]], [[212, 91, 277, 195]], [[212, 91, 277, 195]], [[190, 102, 255, 200]], [[190, 102, 255, 200]], [[190, 102, 255, 200]], [[183, 108, 252, 202], [584, 19, 631, 135]], [[183, 108, 252, 202], [584, 19, 631, 135]], [[172, 119, 235, 216], [513, 38, 587, 146]], [[172, 119, 235, 216], [513, 38, 587, 146]], [[172, 119, 235, 216], [513, 38, 587, 146]], [[162, 117, 227, 206], [473, 51, 548, 155]], [[162, 117, 227, 206], [473, 51, 548, 155]]]","{'nm0681943': [(0, 0)], 'nm0001073': [(1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)], 'nm0001710': [(11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]}"
"She hands him the broom, then plops on the couch.",768.997,771.397,tt0108778,tt0583647,1,2,771.397,768.997,2.4,friends_s01e02_seg02_clip_12,"[8, 8, 9, 9, 10, 10, 11, 11, 12, 12, 13, 13, 14, 14, 15, 15]","[[[236, 104, 265, 141], [303, 68, 328, 107]], [[236, 104, 265, 141], [303, 68, 328, 107]], [[245, 97, 274, 135], [286, 92, 314, 122]], [[245, 97, 274, 135], [286, 92, 314, 122]], [[287, 100, 318, 141]], [[287, 100, 318, 141]], [[320, 93, 353, 134]], [[320, 93, 353, 134]], [[334, 93, 371, 135]], [[334, 93, 371, 135]], [[358, 95, 392, 137], [317, 64, 345, 98]], [[358, 95, 392, 137], [317, 64, 345, 98]], [[296, 62, 323, 99], [386, 122, 417, 164]], [[296, 62, 323, 99], [386, 122, 417, 164]], [[282, 61, 309, 96], [457, 230, 485, 273]], [[282, 61, 309, 96], [457, 230, 485, 273]]]","{'nm0001710': [(0, 1), (1, 1), (14, 0), (15, 0)], 'nm0000098': [(8, 0), (9, 0)]}"
"He stands behind the couch, gazing down at her.",837.68,840.22,tt0108778,tt0583647,1,2,840.22,837.68,2.54,friends_s01e02_seg02_clip_13,"[39, 39, 40, 40, 41, 41, 42, 42, 43, 44, 44, 45, 45, 46, 46, 47]","[[[200, 295, 250, 358], [345, 46, 386, 102]], [[200, 295, 250, 358], [345, 46, 386, 102]], [[200, 292, 249, 357], [342, 45, 385, 102]], [[200, 292, 249, 357], [342, 45, 385, 102]], [[200, 293, 250, 357], [342, 46, 385, 104]], [[200, 293, 250, 357], [342, 46, 385, 104]], [[201, 291, 250, 356], [342, 47, 384, 104]], [[201, 291, 250, 356], [342, 47, 384, 104]], [[202, 290, 251, 355], [340, 48, 383, 105]], [[203, 288, 250, 349], [340, 49, 382, 106]], [[203, 288, 250, 349], [340, 49, 382, 106]], [[207, 285, 253, 345], [339, 50, 381, 107]], [[207, 285, 253, 345], [339, 50, 381, 107]], [[213, 292, 257, 350], [337, 52, 380, 107]], [[213, 292, 257, 350], [337, 52, 380, 107]], [[211, 294, 256, 352], [334, 55, 378, 108]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)], 'nm0001710': [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (12, 1), (13, 1), (14, 1), (15, 1)]}"
"She leans her head back on the couch, then gently rests it against his hand.",850.503,854.543,tt0108778,tt0583647,1,2,854.543,850.503,4.04,friends_s01e02_seg02_clip_13,"[78, 79, 79, 80, 81, 82, 83, 84, 84, 85, 86, 87, 88, 88, 89, 90]","[[[319, 58, 431, 183]], [[316, 58, 427, 181]], [[316, 58, 427, 181]], [[317, 56, 429, 179]], [[317, 56, 431, 179]], [[319, 57, 435, 180]], [[322, 58, 438, 185]], [[333, 71, 449, 198]], [[333, 71, 449, 198]], [[338, 84, 460, 215]], [[338, 90, 467, 226]], [[343, 102, 469, 235]], [[342, 114, 468, 245]], [[342, 114, 468, 245]], [[337, 116, 462, 247]], [[332, 118, 456, 247]]]","{'nm0000098': [(0, 0), (1, 0), (2, 0), (3, 0), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (15, 0)]}"
